asset_id,asset_type,manufacturer,department,asset_age,usage_hours,maintenance_count,maintenance_cost,breakdown_count,last_service_days,status,warranty,failure
53,Ultrasound Machine,Drager,Operation Theatre,2,24278,1,12448,10,101,Under Maintenance,Yes,1
54,Ventilator,Mindray,Emergency,5,15545,6,7221,8,305,Working,No,1
55,Ventilator,Drager,Emergency,1,16332,6,6212,7,331,Working,No,1
56,Infusion Pump,GE Healthcare,Radiology,5,19504,2,8677,5,81,Under Maintenance,Yes,1
57,Infusion Pump,Siemens,Emergency,9,16986,15,4888,0,357,Out of Service,No,1
58,Defibrillator,Mindray,Radiology,5,19658,10,8623,6,81,Working,Yes,1
59,Ultrasound Machine,GE Healthcare,Emergency,7,7861,5,2549,0,232,Under Maintenance,Yes,1
60,MRI Scanner,GE Healthcare,Emergency,1,5455,14,10878,0,287,Under Maintenance,Yes,1
61,Infusion Pump,Philips,Operation Theatre,5,5294,8,1081,0,42,Working,Yes,0
62,Ultrasound Machine,Mindray,Cardiology,9,19265,9,6078,3,306,Under Maintenance,No,1
63,Ventilator,GE Healthcare,Emergency,6,4029,7,14476,6,322,Out of Service,No,1
64,ECG Machine,GE Healthcare,ICU,6,7439,13,13998,2,25,Working,Yes,1
65,MRI Scanner,Mindray,Radiology,5,22882,10,9624,0,21,Working,No,1
66,Defibrillator,GE Healthcare,Emergency,1,13996,15,6555,4,180,Working,Yes,0
67,Defibrillator,Drager,Emergency,7,24988,14,13561,9,224,Working,No,1
68,Ultrasound Machine,Drager,Radiology,10,5078,15,10261,5,346,Out of Service,Yes,1
69,Patient Monitor,GE Healthcare,Emergency,1,20916,12,7895,5,353,Under Maintenance,Yes,1
70,CT Scanner,GE Healthcare,Radiology,8,20509,14,3779,0,264,Working,Yes,1
71,Defibrillator,GE Healthcare,Radiology,6,20262,12,3602,8,197,Under Maintenance,Yes,1
72,Infusion Pump,Siemens,Radiology,8,24926,2,3468,6,56,Under Maintenance,Yes,1
73,ECG Machine,GE Healthcare,Emergency,9,21408,9,6415,10,99,Under Maintenance,Yes,1
74,Ultrasound Machine,Philips,ICU,4,15313,6,7537,10,48,Out of Service,No,1
75,CT Scanner,Mindray,ICU,9,4450,12,2016,8,198,Under Maintenance,No,1
76,ECG Machine,Siemens,Cardiology,1,23514,5,4906,7,307,Out of Service,No,1
77,MRI Scanner,Siemens,Emergency,6,9822,10,2094,4,9,Out of Service,No,1
78,Infusion Pump,Drager,Emergency,6,3141,14,5047,3,280,Working,Yes,0
79,Defibrillator,Drager,Emergency,5,5395,5,4952,1,297,Out of Service,Yes,1
80,CT Scanner,Siemens,ICU,3,12871,13,3530,2,205,Under Maintenance,Yes,0
81,Ventilator,Mindray,Cardiology,9,15929,14,4091,8,169,Out of Service,Yes,1
82,MRI Scanner,Mindray,Emergency,7,15302,8,2496,0,70,Under Maintenance,Yes,1
83,Infusion Pump,Philips,Operation Theatre,4,20683,5,11918,3,218,Under Maintenance,No,1
84,Infusion Pump,GE Healthcare,ICU,6,24148,5,3928,4,315,Working,No,0
85,Ultrasound Machine,Philips,Emergency,8,13012,6,3659,3,221,Working,Yes,1
86,Ventilator,Siemens,Cardiology,9,14750,9,11208,6,352,Out of Service,No,1
87,MRI Scanner,Mindray,Radiology,9,16382,10,13956,5,331,Out of Service,No,1
88,Patient Monitor,Siemens,Operation Theatre,10,22436,1,696,4,323,Working,Yes,1
89,ECG Machine,Mindray,Radiology,3,9830,4,8508,3,52,Working,Yes,1
90,Patient Monitor,Mindray,ICU,6,24058,7,14491,7,317,Working,Yes,1
91,MRI Scanner,Mindray,Radiology,4,22044,12,5624,4,40,Working,Yes,0
92,Defibrillator,GE Healthcare,Radiology,7,8211,14,10267,2,195,Under Maintenance,No,1
93,Defibrillator,Mindray,Cardiology,1,18063,13,13527,4,113,Under Maintenance,No,1
94,Infusion Pump,Drager,Operation Theatre,8,13708,3,12927,6,292,Working,Yes,1
95,CT Scanner,Mindray,Radiology,8,1376,12,5716,3,26,Out of Service,No,1
96,MRI Scanner,GE Healthcare,Operation Theatre,7,11145,4,3919,3,30,Under Maintenance,No,1
97,Defibrillator,GE Healthcare,Emergency,6,13559,12,2892,1,332,Under Maintenance,Yes,0
98,Ventilator,Philips,Emergency,5,3720,3,5781,10,227,Out of Service,Yes,1
99,Ventilator,Philips,Cardiology,3,22841,8,8765,9,213,Working,No,1
100,CT Scanner,Drager,Cardiology,6,18615,5,10697,8,171,Working,No,1
101,ECG Machine,Siemens,Radiology,8,14296,3,10321,4,222,Working,No,1
102,MRI Scanner,Mindray,ICU,9,23188,6,1711,2,210,Out of Service,Yes,1
103,Patient Monitor,Mindray,ICU,3,1187,10,4418,8,260,Working,Yes,1
104,Infusion Pump,Mindray,Cardiology,1,4097,6,5981,9,297,Out of Service,Yes,1
105,Infusion Pump,Mindray,Cardiology,5,9138,2,14578,0,41,Under Maintenance,No,1
106,MRI Scanner,Drager,Emergency,5,12670,3,6672,3,86,Out of Service,No,1
107,Ventilator,Philips,Cardiology,5,11170,11,14881,5,136,Working,Yes,1
108,Ultrasound Machine,Mindray,Operation Theatre,10,22194,9,2075,9,238,Working,No,1
109,Defibrillator,Drager,Radiology,6,13037,3,2067,5,356,Under Maintenance,No,1
110,Ventilator,GE Healthcare,Operation Theatre,6,17175,12,1340,9,76,Out of Service,Yes,1
111,Patient Monitor,Drager,Cardiology,10,23391,11,5271,4,18,Under Maintenance,No,1
112,Patient Monitor,GE Healthcare,ICU,4,12671,15,9840,6,329,Under Maintenance,Yes,1
113,Defibrillator,GE Healthcare,ICU,1,13611,5,12268,9,173,Under Maintenance,Yes,1
114,MRI Scanner,Siemens,ICU,5,3847,11,11385,1,311,Under Maintenance,Yes,1
115,ECG Machine,Philips,Operation Theatre,2,4372,15,11974,8,150,Under Maintenance,Yes,1
116,Defibrillator,Philips,Cardiology,1,20251,14,3403,7,183,Out of Service,Yes,1
117,Infusion Pump,Mindray,ICU,8,11253,12,8460,10,45,Under Maintenance,No,1
118,Infusion Pump,GE Healthcare,Radiology,7,13588,13,8762,0,206,Under Maintenance,No,1
119,Ultrasound Machine,Drager,Cardiology,1,2321,9,7245,9,312,Under Maintenance,Yes,1
120,Ventilator,Drager,Radiology,1,1428,3,1645,2,337,Out of Service,No,1
121,Infusion Pump,Philips,Cardiology,9,11471,4,14637,1,361,Under Maintenance,No,1
122,MRI Scanner,Mindray,Cardiology,8,6432,5,2139,2,355,Under Maintenance,No,1
123,ECG Machine,Siemens,Operation Theatre,5,3418,7,2354,7,75,Working,No,1
124,Infusion Pump,GE Healthcare,Operation Theatre,3,24160,6,9979,0,118,Working,Yes,1
125,ECG Machine,GE Healthcare,Radiology,5,22458,6,2410,6,165,Out of Service,Yes,1
126,MRI Scanner,Drager,Cardiology,1,4689,12,4032,8,182,Working,No,1
127,Infusion Pump,Siemens,Radiology,5,12419,5,4234,9,3,Working,Yes,1
128,CT Scanner,Siemens,Emergency,1,11155,3,14170,7,346,Under Maintenance,Yes,1
129,Defibrillator,GE Healthcare,Emergency,8,11047,15,12680,2,210,Under Maintenance,Yes,1
130,MRI Scanner,Philips,Operation Theatre,10,20267,9,10269,6,235,Under Maintenance,Yes,1
131,Ventilator,Mindray,ICU,1,3016,5,1721,4,348,Working,Yes,0
132,Defibrillator,Mindray,Emergency,9,16397,10,12850,0,80,Working,No,1
133,Ultrasound Machine,Mindray,ICU,1,21638,1,6337,3,317,Under Maintenance,No,0
134,CT Scanner,Siemens,Cardiology,9,19392,5,5961,1,330,Under Maintenance,No,1
135,Defibrillator,Drager,Emergency,10,22437,2,10475,7,244,Under Maintenance,Yes,1
136,CT Scanner,Drager,Radiology,8,7708,1,14001,3,221,Working,No,1
137,Infusion Pump,GE Healthcare,Operation Theatre,7,13715,14,4525,10,279,Working,Yes,1
138,Infusion Pump,Philips,ICU,3,16809,2,8145,10,9,Working,No,1
139,Ultrasound Machine,Mindray,ICU,8,1742,4,8222,0,106,Out of Service,No,1
140,MRI Scanner,GE Healthcare,Cardiology,10,24529,10,14238,9,133,Out of Service,Yes,1
141,Infusion Pump,Drager,ICU,6,2367,11,7477,5,36,Out of Service,Yes,1
142,ECG Machine,Drager,Cardiology,7,4142,14,4625,4,278,Out of Service,Yes,1
143,MRI Scanner,GE Healthcare,Operation Theatre,6,9357,2,4818,9,339,Out of Service,Yes,1
144,Ventilator,Drager,Operation Theatre,4,12374,8,1189,5,9,Out of Service,Yes,1
145,Patient Monitor,Siemens,Emergency,8,17467,7,1995,5,43,Out of Service,No,1
146,MRI Scanner,Siemens,Emergency,1,23822,15,1688,0,247,Under Maintenance,Yes,0
147,ECG Machine,Philips,Radiology,8,11513,13,584,10,175,Under Maintenance,Yes,1
148,Ventilator,Siemens,Cardiology,7,4978,8,5062,4,104,Under Maintenance,No,1
149,Patient Monitor,Drager,Cardiology,6,2804,1,12777,8,337,Under Maintenance,No,1
150,Ventilator,Mindray,Cardiology,6,8216,2,1592,5,249,Under Maintenance,No,1
151,Defibrillator,Drager,ICU,4,10621,6,11391,7,129,Working,Yes,1
152,MRI Scanner,Philips,Cardiology,8,4038,14,13604,8,314,Working,Yes,1
153,CT Scanner,Drager,Radiology,2,24120,4,1885,5,261,Out of Service,No,1
154,Ultrasound Machine,Siemens,Cardiology,6,13727,10,646,2,85,Working,Yes,0
155,Defibrillator,GE Healthcare,Radiology,3,22467,11,1267,1,297,Working,No,0
156,CT Scanner,Drager,Cardiology,10,24777,3,6003,1,181,Out of Service,No,1
157,Ultrasound Machine,Siemens,ICU,8,24990,10,8612,8,213,Working,No,1
158,Ventilator,Philips,ICU,2,9549,3,996,4,146,Under Maintenance,No,0
159,Defibrillator,Philips,Operation Theatre,9,23278,3,8758,8,358,Under Maintenance,No,1
160,Defibrillator,Siemens,Cardiology,7,24128,14,9250,5,272,Out of Service,No,1
161,Defibrillator,Siemens,Emergency,4,16031,15,10548,0,319,Out of Service,No,1
162,Ventilator,GE Healthcare,Operation Theatre,3,5295,1,4902,7,239,Under Maintenance,Yes,1
163,Patient Monitor,Drager,Operation Theatre,6,13718,2,12170,5,178,Under Maintenance,No,1
164,ECG Machine,GE Healthcare,Emergency,4,19705,11,12465,3,212,Out of Service,Yes,1
165,MRI Scanner,Siemens,Operation Theatre,5,20245,2,6104,10,273,Out of Service,No,1
166,MRI Scanner,Drager,Emergency,10,2676,12,7810,5,87,Under Maintenance,No,1
167,Infusion Pump,Siemens,ICU,1,20627,14,2066,10,311,Out of Service,No,1
168,MRI Scanner,Mindray,Operation Theatre,10,7700,1,13615,0,136,Out of Service,No,1
169,Infusion Pump,Siemens,Operation Theatre,8,18021,2,12000,4,26,Under Maintenance,No,1
170,MRI Scanner,GE Healthcare,Cardiology,10,19938,9,8244,6,73,Out of Service,Yes,1
171,ECG Machine,Mindray,ICU,2,11609,12,2476,2,314,Under Maintenance,Yes,0
172,Ventilator,Drager,ICU,10,2557,13,1542,2,303,Under Maintenance,No,1
173,Patient Monitor,GE Healthcare,Cardiology,8,21725,12,11498,10,187,Out of Service,Yes,1
174,CT Scanner,Philips,Emergency,10,14184,8,5734,1,308,Out of Service,Yes,1
175,ECG Machine,Drager,ICU,4,17127,10,13309,7,95,Under Maintenance,No,1
176,Defibrillator,GE Healthcare,Emergency,4,5065,11,5491,9,148,Working,Yes,1
177,Patient Monitor,Philips,Emergency,3,4763,7,5319,8,355,Out of Service,Yes,1
178,CT Scanner,Mindray,Operation Theatre,7,15757,2,9646,2,43,Out of Service,No,1
179,Infusion Pump,GE Healthcare,Radiology,4,21390,15,809,4,275,Under Maintenance,No,0
180,Patient Monitor,Siemens,Operation Theatre,5,11852,4,8900,8,95,Out of Service,No,1
181,Defibrillator,Drager,ICU,9,24545,15,6199,2,148,Out of Service,No,1
182,Ultrasound Machine,Philips,Emergency,4,10085,4,7622,8,275,Under Maintenance,No,1
183,Ventilator,Mindray,ICU,9,2878,10,13419,9,340,Working,No,1
184,CT Scanner,Philips,Radiology,5,15720,1,12011,4,142,Under Maintenance,No,1
185,Defibrillator,Siemens,Cardiology,2,3993,5,8693,8,43,Working,No,1
186,Ventilator,Philips,Cardiology,8,15425,1,673,5,325,Under Maintenance,Yes,1
187,Patient Monitor,Siemens,Radiology,1,9369,7,10398,9,151,Under Maintenance,No,1
188,Patient Monitor,GE Healthcare,Radiology,3,7204,3,14125,1,148,Out of Service,Yes,1
189,Patient Monitor,GE Healthcare,Cardiology,9,8028,9,13743,7,258,Out of Service,No,1
190,CT Scanner,GE Healthcare,Operation Theatre,10,4913,7,4827,5,192,Working,No,1
191,Defibrillator,Mindray,Emergency,1,18837,10,10421,5,168,Out of Service,Yes,1
192,Ventilator,GE Healthcare,Radiology,7,10928,9,12602,2,268,Under Maintenance,No,1
193,Patient Monitor,Drager,Operation Theatre,9,5888,8,9891,7,248,Out of Service,Yes,1
194,Ventilator,GE Healthcare,ICU,7,1626,9,5486,9,309,Out of Service,No,1
195,Ultrasound Machine,Mindray,ICU,4,4042,11,4742,3,241,Out of Service,No,1
196,Defibrillator,Mindray,Cardiology,2,20623,5,11360,10,36,Under Maintenance,Yes,1
197,CT Scanner,Drager,ICU,6,16390,13,5626,1,263,Working,No,0
198,Ventilator,Siemens,Operation Theatre,4,16591,6,2640,10,28,Out of Service,Yes,1
199,Ventilator,GE Healthcare,Emergency,8,7844,10,14796,9,361,Working,No,1
200,Ultrasound Machine,Mindray,Operation Theatre,4,6986,9,4711,8,297,Out of Service,Yes,1
201,Ultrasound Machine,GE Healthcare,Radiology,9,14827,11,1467,2,170,Working,No,1
202,Ultrasound Machine,GE Healthcare,Radiology,8,19394,15,8975,3,350,Under Maintenance,Yes,1
203,MRI Scanner,Drager,Operation Theatre,7,4439,8,4131,7,117,Out of Service,No,1
204,ECG Machine,Siemens,Radiology,6,18411,2,9411,4,359,Out of Service,Yes,1
205,CT Scanner,Drager,Operation Theatre,4,18769,14,4257,1,352,Under Maintenance,No,0
206,CT Scanner,Mindray,Cardiology,2,7197,10,4173,7,211,Working,Yes,1
207,Ventilator,Philips,Emergency,1,10234,13,9521,8,361,Under Maintenance,Yes,1
208,Infusion Pump,Siemens,ICU,10,21933,6,2828,3,255,Working,No,1
209,Ventilator,Siemens,Radiology,9,23650,5,9991,0,221,Working,Yes,1
210,ECG Machine,Siemens,Cardiology,3,5785,13,7385,2,193,Out of Service,No,1
211,Patient Monitor,Philips,Emergency,2,4996,3,5187,6,170,Working,No,1
212,Patient Monitor,Siemens,Emergency,10,3243,3,7729,10,79,Under Maintenance,Yes,1
213,MRI Scanner,GE Healthcare,Cardiology,3,15846,3,4095,9,325,Out of Service,No,1
214,Ultrasound Machine,GE Healthcare,Operation Theatre,10,9167,7,4634,1,94,Working,Yes,1
215,Defibrillator,Siemens,Operation Theatre,6,9611,4,3219,7,52,Out of Service,Yes,1
216,CT Scanner,Mindray,ICU,10,17903,9,9826,2,37,Working,Yes,1
217,Ultrasound Machine,Siemens,Cardiology,7,11239,9,13511,10,11,Working,No,1
218,Defibrillator,Philips,Cardiology,1,7877,5,5950,5,343,Out of Service,No,1
219,Ventilator,Siemens,Radiology,3,13294,11,10292,3,180,Out of Service,Yes,1
220,CT Scanner,Siemens,Operation Theatre,8,2142,1,9815,0,101,Out of Service,No,1
221,Defibrillator,GE Healthcare,Cardiology,2,6214,6,5317,4,257,Out of Service,No,1
222,ECG Machine,Drager,Emergency,9,10043,15,8265,0,330,Under Maintenance,No,1
223,Patient Monitor,Drager,Cardiology,7,12776,10,10463,2,62,Out of Service,No,1
224,Ultrasound Machine,Philips,ICU,5,6731,1,5099,0,311,Working,No,0
225,Patient Monitor,Drager,Operation Theatre,8,19054,9,13509,1,116,Working,No,1
226,Defibrillator,GE Healthcare,Operation Theatre,5,8391,13,11128,8,107,Under Maintenance,No,1
227,Ultrasound Machine,Siemens,Cardiology,7,13439,1,8798,10,230,Out of Service,Yes,1
228,CT Scanner,Drager,Radiology,3,17591,4,4029,10,226,Under Maintenance,Yes,1
229,MRI Scanner,Philips,Cardiology,10,2520,10,3046,2,189,Working,No,1
230,Patient Monitor,GE Healthcare,ICU,2,595,5,3557,5,357,Out of Service,Yes,1
231,Ventilator,Siemens,Cardiology,1,18997,11,599,8,293,Out of Service,Yes,1
232,ECG Machine,Drager,Radiology,6,2548,1,5467,10,291,Under Maintenance,No,1
233,ECG Machine,Mindray,Emergency,10,6998,3,13056,4,274,Working,Yes,1
234,Patient Monitor,Mindray,Operation Theatre,3,18755,6,3414,8,280,Working,No,1
235,Ventilator,Mindray,Radiology,9,20791,15,1778,5,188,Out of Service,No,1
236,MRI Scanner,Siemens,Radiology,6,13923,10,2525,4,172,Under Maintenance,Yes,0
237,MRI Scanner,Drager,Radiology,8,9065,10,12024,8,87,Under Maintenance,No,1
238,Ventilator,Siemens,Emergency,8,14466,6,8275,6,243,Under Maintenance,No,1
239,Ventilator,Mindray,ICU,7,24580,2,3976,5,166,Working,No,1
240,Ventilator,Drager,ICU,6,7852,12,1532,6,199,Working,Yes,1
241,ECG Machine,Philips,Cardiology,9,18249,12,9604,0,305,Under Maintenance,No,1
242,Defibrillator,Philips,Emergency,10,1506,3,907,3,321,Working,Yes,1
243,MRI Scanner,Philips,Operation Theatre,1,10998,2,4536,2,86,Under Maintenance,No,0
244,CT Scanner,Mindray,Emergency,1,20512,11,14568,8,33,Out of Service,Yes,1
245,Ventilator,Drager,Emergency,7,17433,7,8435,0,180,Out of Service,No,1
246,Patient Monitor,GE Healthcare,Cardiology,5,4519,12,5795,1,303,Under Maintenance,Yes,0
247,Ultrasound Machine,Mindray,Cardiology,9,24764,14,4671,0,12,Out of Service,No,1
248,Patient Monitor,Siemens,Operation Theatre,7,19140,1,11538,6,254,Out of Service,Yes,1
249,ECG Machine,Mindray,Radiology,8,14540,3,10374,5,252,Working,No,1
250,ECG Machine,Mindray,Emergency,6,21544,14,12101,2,192,Out of Service,No,1
251,MRI Scanner,Philips,Emergency,7,13147,6,5450,9,316,Under Maintenance,Yes,1
252,Defibrillator,GE Healthcare,Emergency,1,7339,10,6258,3,227,Under Maintenance,Yes,0
253,Ultrasound Machine,Siemens,ICU,1,24594,11,5713,2,293,Out of Service,No,1
254,ECG Machine,GE Healthcare,Emergency,9,21048,2,6984,0,292,Under Maintenance,Yes,1
255,Infusion Pump,Drager,Emergency,9,16106,10,12722,10,336,Working,No,1
256,Ventilator,Drager,Operation Theatre,8,16915,13,4543,10,174,Working,No,1
257,Ventilator,Drager,Cardiology,9,18020,4,11228,7,124,Under Maintenance,No,1
258,Infusion Pump,GE Healthcare,ICU,5,22825,15,2433,8,122,Under Maintenance,No,1
259,Infusion Pump,GE Healthcare,Radiology,2,1709,14,3998,0,155,Working,No,0
260,ECG Machine,Philips,Operation Theatre,3,7640,12,11077,2,53,Working,No,1
261,Patient Monitor,Drager,Cardiology,6,1925,15,3391,2,210,Under Maintenance,No,0
262,Ventilator,Drager,Cardiology,1,19761,4,6340,4,239,Out of Service,No,1
263,Ultrasound Machine,GE Healthcare,Radiology,2,17078,5,4281,10,179,Working,No,1
264,Ventilator,Drager,ICU,3,10651,12,3244,6,234,Working,Yes,1
265,Patient Monitor,Siemens,Emergency,10,22412,10,3298,10,125,Out of Service,Yes,1
266,MRI Scanner,Drager,Cardiology,8,24906,6,10534,0,287,Under Maintenance,No,1
267,Patient Monitor,Siemens,Radiology,5,20931,10,12891,1,264,Working,Yes,1
268,Ultrasound Machine,Mindray,Operation Theatre,4,11272,8,14868,10,206,Under Maintenance,Yes,1
269,Ventilator,Drager,Emergency,10,13666,7,7227,1,64,Out of Service,Yes,1
270,Infusion Pump,Drager,Operation Theatre,7,6125,13,4275,3,82,Under Maintenance,Yes,1
271,Ventilator,GE Healthcare,Radiology,2,20022,7,8509,7,219,Under Maintenance,No,1
272,Patient Monitor,GE Healthcare,Operation Theatre,4,11272,7,5706,2,278,Out of Service,Yes,1
273,Patient Monitor,Siemens,ICU,3,14792,10,1713,1,283,Working,No,0
274,Defibrillator,GE Healthcare,Cardiology,3,20492,6,13232,7,344,Working,No,1
275,ECG Machine,Drager,Cardiology,1,23099,1,7862,7,308,Out of Service,No,1
276,Ventilator,GE Healthcare,Operation Theatre,2,19833,14,578,9,193,Out of Service,No,1
277,Defibrillator,Drager,Emergency,10,17072,14,2437,1,211,Under Maintenance,No,1
278,Defibrillator,GE Healthcare,Emergency,4,18960,11,4946,9,256,Under Maintenance,No,1
279,Ultrasound Machine,Siemens,Radiology,10,20931,2,9185,6,311,Out of Service,No,1
280,Defibrillator,Siemens,Radiology,4,1304,5,12405,0,142,Under Maintenance,No,1
281,ECG Machine,Siemens,Operation Theatre,3,14226,8,5313,5,34,Working,Yes,1
282,Infusion Pump,Drager,Operation Theatre,5,9471,14,11425,7,151,Under Maintenance,Yes,1
283,Ultrasound Machine,Mindray,Radiology,10,14195,2,6293,0,114,Out of Service,No,1
284,CT Scanner,Siemens,Emergency,3,2760,15,2998,10,192,Under Maintenance,Yes,1
285,Defibrillator,GE Healthcare,Emergency,3,8029,5,9274,2,179,Working,Yes,1
286,MRI Scanner,Philips,ICU,6,15052,1,1367,4,81,Under Maintenance,No,0
287,Ultrasound Machine,Drager,Emergency,4,5028,12,3938,10,134,Out of Service,No,1
288,Ultrasound Machine,GE Healthcare,ICU,5,6047,9,8029,3,251,Out of Service,No,1
289,ECG Machine,Philips,Emergency,5,17497,2,8075,2,171,Out of Service,Yes,1
290,Patient Monitor,GE Healthcare,Operation Theatre,1,7087,3,11701,3,68,Under Maintenance,No,1
291,Patient Monitor,Mindray,Emergency,10,24904,6,2792,10,306,Working,No,1
292,Ultrasound Machine,Drager,ICU,5,21654,9,5106,8,344,Under Maintenance,Yes,1
293,Infusion Pump,GE Healthcare,ICU,8,20138,5,3459,10,124,Working,Yes,1
294,MRI Scanner,Philips,Operation Theatre,8,4394,8,8199,7,332,Under Maintenance,Yes,1
295,CT Scanner,GE Healthcare,ICU,1,24175,9,14265,7,281,Under Maintenance,No,1
296,Ventilator,Drager,Cardiology,7,23018,3,1655,7,55,Under Maintenance,Yes,1
297,Ventilator,GE Healthcare,Emergency,6,15861,10,1272,3,212,Under Maintenance,No,0
298,Ventilator,Drager,Emergency,1,987,5,14121,7,230,Out of Service,No,1
299,ECG Machine,Drager,ICU,7,17213,11,1686,5,353,Out of Service,Yes,1
300,Ventilator,Siemens,ICU,2,9345,12,585,10,313,Out of Service,No,1
301,Patient Monitor,Philips,Emergency,10,15858,11,5871,0,295,Working,Yes,1
302,MRI Scanner,Drager,Radiology,6,22243,3,9135,10,318,Out of Service,Yes,1
303,Ultrasound Machine,Drager,Operation Theatre,6,13525,9,8875,2,98,Under Maintenance,No,1
304,ECG Machine,Drager,Radiology,9,8872,7,824,6,261,Working,Yes,1
305,MRI Scanner,Drager,ICU,6,16526,13,10053,0,26,Working,No,1
306,Ventilator,Siemens,Operation Theatre,3,7701,6,9716,3,51,Working,No,1
